Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Antigüedad,Estado conservacion,URL,Descripcion
Casa adosada en venta en El Castell,Esparreguera,265000 ,3, 2 ,162 ,-,1.635,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-928372145_101800/,"Casa adosada 2 plantes - zona el castell de 162 m². Planta baja  - ,jardin delantero de 54 m² + garage de 50 m² para dos coches . Planta primera  55 m² - se accede a la vivienda con escaleras , comedor muy amplio con salida al balcon terraza. Cocina ofifice  + 1 aseo  Patio trasero de 27 m². Planta segunda  57 m² - 3 habitaciones amplias con baño completo bañera"
Casa en venta en Calle Esparreguera,Esparreguera,256000 ,3, 2 ,160 ,-,1.600,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-3430813746_519327/,"160 m2. de vivienda en 3 plantas.Planta baja: Garaje 40 m2. con armario empotrado, Cuarto trastero.1ª Planta; Salón comedor 35 m2. con salida a terraza de 60 m3., Cocina office con salida a balcón, Aseo de cortesia.Planta Segunda: 3 Habitaciones (2 dobles), Baño completo con plato de ducha, Distribuidor.Suelo de gres, Calefacción gas, Carpinteria interior roble,  exterior aluminio climalit, Aparato de aire acondicionado, Descalcificador y Osmosis."
Casa en venta en Esparreguera,Esparreguera,253000 ,3, 2 ,175 ,Bajo,1.445,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-881359545_519351/,"Casa 3 plantas. Para entrar a vivir. Garaje coche y moto, trastero, suelo parket y gres, calefacc. Gas natural."
Chalet en venta en Esparreguera,Esparreguera,247260 ,3, 2 ,192 ,-,1.287,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-92521114992_100500/,"Ref. Mce3732an.  .  Chalet en esparreguera zona can rial, 192 m. De superficie, 500 m. Superficie parcela,.  .  Distribución:.  - cocina equipada.  - salon comedor.  - 3 habitaciones (2 habitaciones dobles y  1 individual).  - 2 baños.  - garaje.  - jardín con piscina y barbacoa.  .  Calidades.  - propiedad para entrar a vivir,.  -carpinteria interior de sapeli.  - suelo de gres y parquet.  - carpintería exterior de aluminio..  .  Zona y transporte público:.  Zona y transporte.  Urbanización a las afueras de esparreguera, en coche tendrá a un máximo de 5´ colegios, instituto, tiendas varias, mercado municipal , farmacias, parada de autobuses con destino a las principales y no tan principales poblaciones y ciudades (olesa de montserrat, martorell, abrera, barcelona, igualada, manresa, etc) en las que podrá encontrar el tren (fgc)..  .  Estará a tan solo 3' de autovía a2 dirección barcelona y/o igualada, lérida ) y a 5' autopista del mediterráneo. Andando estará a tan solo 2' autobús que tiene parada en el centro del pueblo, esparreguera. Estará a tan sólo a 10' del tren (fgc o renfe), servicio de igualadina en el mismo pueblo de esparraguera."
Casa en venta en Esparreguera,Esparreguera,215000 ,5, 2 ,84 ,-,2.559,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-1755237111_100500/,"Referencia: mco1001sl. . - 5 habitaciones (2 dobles y 3 individual, todas exteriores).. - cuarto de baño completo, con plato de ducha y mampara,  totalmente exterior.. - aseo de cortesía situado en la terraza.. - cocina independiente, muy amplia. Con vistas al patio.. - amplio salón-comedor de 40 m² con vistas y salida/entrada a la terraza.. - trastero de 15m² con lavadero.. - magnífico terreno de 1560m² con vistas al valle. Está completamente vallado y da a dos calles. Sobre él construidos los 80m². Aquí podrá disfrutar de sus mejores momentos y acompañarse de magnificas puestas de sol.. - excelente barbacoa de obra en pleno patio.. - aljibe de 45.000.. . . Zona y transporte público:. -urbanización rodeada de naturaleza, tranquilidad, impresionantes vistas e impagables puestas de sol. Sin duda en  ella usted ganará en calidad de vida. . Estará a tan solo 10' de autopista (a-ii) y nacional 2 (n-ii).. . - estará a tan sólo a 15' tanto del tren (fgc) como de la parada de autobús.. Ambos transportes tienen parada tanto a la 3ª ciudad más feliz del mundo, barcelona, como a las maravillosas ciudades de manresa e igualada, entre otros pueblos.. . ¡Llámenos y la vistamos!"
Casa en venta en Esparreguera,Esparreguera,170000 ,3, 1 ,71 ,-,2.394,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-97520185879_100500/,"Ref. Mce3942ah.  .  Casa en esparreguera, urbanización mas d'en gall de 60m² sobre parcela de 440m²_.  .  Distribución:.  - 3 habitaciones (1 doble  y 2 individuales)_.  - baño completo..  - cocina equipada.  - salón-comedor con vistas al jardín y salida directa a la terraza delantera con porche.  .  Zona:.  Urbanización rodeada de naturaleza, tranquilidad, impresionantes vístas e impagables puestas de sol. Sin duda en ella usted ganará en calidad de vida. .  Estará a tan solo 3' de autovía a2 dirección barcelona y/o igualada, lérida ) y a 5' autopista del mediterráneo. .  .  Transporte público:.  Estará a tan sólo a 10' del tren (fgc o renfe), servicio de bus urbano cerca del inmueble, igualadina en el pueblo de esparraguera..  Ambos transportes tienen parada tanto a la 3ª ciudad más feliz del mundo, barcelona, como a las maravillosas ciudades de manresa e igualada, entre otros pueblos..  .  Venga a ver éste inmueble, situado en uno de los pueblos con más encanto del baix llobregat nord. Si no conoce la zona, nosotros se la mostramos..  .  ¡Llámenos y la vistamos!"
Casa en venta en Esparreguera,Esparreguera,250000 ,3, 2 ,150 ,Bajo,1.666,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-95008733907_519327/,"6921 -Urb. Can Rial - 120 m2. Vivienda + 101 m2. de planta sótano 645 m2. de Parcela Planta 1ª:Salón comedor, Cocina office, baño con bañera media concha, 3 habitaciones (2 dobles y 1 individual con armario empotrado.) Planta baja: Loft 30 m2. con fuego a tierra, Garaje abierto para 2 coches, galeria con baño con bañera. Suelo terrazo, Alarma, Calefacción gasoil, Carp. Imterior sapelly, exterior madera."
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,145000 ,3, 2 ,82 ,1ª,1.768,-,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85018687006_324700/,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 81 m² y útil de 72 m² distribuidos en un amplio comedor, cocina independiente, 1 habitación doble y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
Casa en venta en Esparreguera,Esparreguera,240000 ,4, 1 ,77 ,-,3.116,Entre 30 y 50 años,-,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-72529739340_104400/,"Ref. Mce2719mt.  .  Finca compuesta por una casa mas cinco locales comerciales..  .  Distribución casa:..  .  -salón-comedor..  -4 dormitorios,dos de ellos dobles..  -cocina con salida a terraza..  -un baño con ducha..  -zona exterior: garaje,zona barbacoa,gran terraza donde disfrutar del sol y de la tranquilidad de la zona..  .  Locales:.  .  - local destinado a bar de 118 m², actualmente en funcionamiento..  - local destinado a supermercado de 126 m², actualmente en funcionamiento..  - local destinado a panadería de 32 m²..  - local destinado a oficina de 24 m²..  - local destinado a almacén 32 m²..  .  Zona y transporte:.  .  Casa y locales muy bien situados en zona de paso de la urbanización mas d´en gall de esparreguera donde encontrara todos los servicios,colegios,institutos,guarderias,comercios,farmacias..ideal para inversores.a 3´del acceso de a2 dirección barcelona/lleida y de la población de esparreguera. ."
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,164000 ,3,-,81 ,3ª,2.024,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-85099417926_324700/,"Promoción de pisos en venta situados en el municipio de Esparreguera provincia de Barcelona. El inmueble tiene una superficie construida de 81 m² y útil de 72 m² distribuidos en un amplio comedor, cocina independiente, 1 habitación doble y 2 individuales, más 1 baño con bañera y 1 baño completo con plato de ducha. Acabados con suelo de gres, carpintería interior de haya y exterior de aluminio. Dispone de calefacción de gas. En buen estado de conservación.La localidad de Esparreguera permite un fácil acceso por carretera A-2 a 25 minutos de Barcelona, próximo al Ayuntamiento y junto a las zonas más comerciales y transitadas de la localidad. A su alrededor podemos encontrar supermercados, colegios y restaurantes, a tan solo 20 minutos de Barcelona y perfectamente comunicada gracias al servicio de autobuses.Si desea más información, no dude en contactar con nosotros y le informaremos de todo lo que necesite sin ningún compromiso. Disponemos de una amplia cartera de inmuebles en municipios del Baix Llobregat (Olesa de Montserrat, Esparreguera, Abrera, Martorell...) o la Anoia (Collbató, Igualada, Vilanova del Camí...)."
