Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Antigüedad,Estado conservacion,URL,Descripcion
Casa adosada en venta en La Plana,Esparreguera,178000 ,4, 2 ,217 ,-,820,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-26927192_500732/,"Casa a reformar adosada 116 m²  de 2 plantas en parcela de 120 m², en esparraguera, la zona de la plana. Planta baja: salón comedor. Cocina independiente con salida a patio. Una habitación con baño completo. Segunda planta: 3 habitaciones dobles con un baño completo . Sale a una galería y a un patio que se comunica con la planta baja. Esta muy cerca del centro y de todos los comercios y escuelas. Venga a verla!! Condiciones especiales de financiacion."
Casa adosada en venta en Esparreguera,Esparreguera,275000 ,3, 2 ,165 ,-,1.666,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-100036323922_100500/,"Se vende casa adosada en la zona del castell de esparreguera, zona muy tranquila a la vez que tienes todos los servicios necesarios a poca distancia, como escuelas e instituto, transporte público, supermercados, etc.... Y a pocos metros enlace autovia a-2. Barcelona se encuentra a tan solo 25 minutos..  La vivienda se ubica en una calle de uso solo para los vecinos y justo al lado de un parque infantil. Tiene un total de 4 plantas con la siguiente distribución: planta baja con amplio garage y una zona como despacho con salida a patio trasero de más de 30 m². Inicialmente era todo garage. Planta primera con 1 aseo, cocina independiente con salida a lavadero cerrado y gran salón-comedor de 30 m² con salida a bonita terraza exterior. Planta segunda con 3 habitaciones dobles (1 de ellas con gran armario-vestidor y salida a balcón) y 1 baño con bañera. Planta tercera como gran zona abuhardillada apta para muchos usos..  Fantásticos acabados como suelos de gres y parquet, carpinteria exterior de aluminio-climalit, persiana salón y puerta garage motorizada, puertas interiores de haya y exterior blindada, calefacción a gas natural, aire acondicionado con bomba de calor, etc.... Totalmente renovada de origen, casa muy luminosa con una fantástica orientación sur, son todos los servicios dados de alta y a punto para entrar a vivir !!!.  +++ llamanos para visita sin compromiso, te encantará +++."
"Casa en venta en Carrer Gran, nº 82",Esparreguera,217000 ,-, 2 ,236 ,-,919,-,-,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100006217030_109200/,"Casa de 236m²    Muy céntrica, con  local comercial en la planta baja  totalmente reformado, con baño     Local p. Baja de 96m²    + patio de 70m²  P. Primera de 72m² (3 habitaciones)  P. Segunda de 72m² (2 habitaciones y 1 habitación buhardilla)  P. Bajo cubierta 20m² (1habitación buhardilla y terraza de 20m²)  Suministros de agua, gas y electricidad de alta  Los desagües generales en planta baja son nuevos  Muy buenos inquilinos en el alquiler del local de planta baja  Ideal inversor  Los importes de venta son meramente informativos y pueden ser susceptibles de cambiar según indicaciones de la propiedad.."
Chalet en venta en Can Rial,Esparreguera,195000 ,3, 1 ,121 ,-,1.611,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-100067745906_101800/,** casa de 12 m² construidos. 88 m² útiles. +  Garaje de 24 m²** construida sobre parcela de 520 m². 3 habitaciones. 1 baño con bañera. Calefacción gasoil. Ventanas de aluminio. Mosquiteras. Magníficas vistas. Huerto y zona pavimentada. Trastero. Barbacoa.
"Piso en venta en Avinguda de Francesc Macià, cerca de Carrer de Ponent",Esparreguera,234500 ,3, 2 ,100 ,4ª,2.345,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-2547570943_999081/,"Piso en venta en Francesc Macia. Zona Vinyals Esparraguera.  ¿Cuánto tiempo llevas buscando un elegante piso para ti y tu familia con unas vistas panorámicas a la escultural montaña de Montserrat?Disfruta de este piso cuya ubicación destacada, lo sitúa a pocos metros de la parada del bus, y a tan solo a cinco minutos caminando al mercado, tiendas, colegios, guarderías, institutos y zonas deportivas. Listo para acogeros a ti y a tu familia, este bello piso seminuevo, (¡con tan solo doce años ¡) todo exterior, esquinero, de aprox;100m2, más una plaza de parking y un trastero en el mismo edificio. Un hogar que ha sido optimizado con un estilo moderno y práctico, al mismo tiempo que ofrece un modo de vida relajado, situado en una de las zonas más buscadas del Baix Llobregat. ¡Un piso sencillamente perfecto ¡Con hall de entrada, tres dormitorios, principal en suite, una privilegiada terraza, dos baños completos, una cocina moderna y llena de luz, equipada con un purificador de agua por ósmosis inversa, calefacción, y descalificador que neutraliza la cal en toda la vivienda. Nos da la bienvenida un recibidor sencillamente bonito y acogedor. El sello distintivo es la pared decorada con estuco veneciano que le aporta a este espacio ese toque de belleza artesanal, tan propio de este tipo de pintura. Se va distribuyendo hacia las habitaciones, la cocina y el comedor. El acogedor vestíbulo se abre la derecha, a la zona de noche con una amplia habitación individual, otra sencilla de 7m2, donde puede ir cualquier tipo de habitación: una habitación para los peques, una sala de estar, un despacho, un estudio, o un vestidor, (estos dos dormitorios cuentan con un baño familiar con bañera, inodoro y tocador con lavabo y espejo) y un tercer dormitorio en suite de 13m2, que da a un balcón, las vistas son sorprendentes a la montaña sagrada. Cómoda en todo momento, esta dependencia, está equipado con un elegante baño completo, donde el azulejo le aporta un encanto natural y moderno.Siguiendo hacia el interior, nos encontramos con una cocina largada de 8m2, bien equipada donde se ha buscado la funcionalidad al mismo tiempo que la estética (la combinación del blanco y el negro, le aportan un toque de elegancia y funcionalidad). A destacar su pequeño rincón de desayuno rápido. ¡Hay que reconocer que se ha sacado provecho a sus dimensiones! Tiene acceso a la zona lavadero con ventana, que favorece la entrada de luz todo el año; es de agradecer, ya que ayuda a estar más cómodos en un lugar donde se pasan largos ratos poniendo lavadoras.Sentirás el confort nada más entrar en el salón, el auténtico corazón del piso, en el que se han dispuesto una zona de estar y un comedor en un espacio único de 30m2, con mucho sol por la mañana, se abre a una terraza que fluye hacia el exterior buscando las vistas despejadas del paisaje de los valles y las montañas del entorno excepcional donde se encuentra la vivienda. Merece la pena aprovechar muy bien esta terraza de 18m2 (suficientes) para convertirla en un lugar que invite a cenar en las noches de verano, charlar o tomar algo, con la familia o/y los amigos, o desconectar durante el fin de semana. En definitiva, una zona de relax excelente, con buenas vistas.Incluye en el precio una plaza de aparcamiento para un coche grande y moto y un trastero para almacenar las cosas que no se utilizan cada día: bicis, maletas, mochilas... Situado al pie de la escultural silueta de la mágica montaña de Montserrat, es ideal para gozar de una excursión que nunca decepciona, en cualquier época del año, con los niños, la familia y/o los amigos o para una mayor tranquilidad, subir la montaña, hasta llegar a la cumbre, y disfrutar de su tranquilidad, mientras ves a los pies el santuario y más allá.Es un piso ideal para tu familia, dada su corta distancia a la salida de la A-2, dirección Barcelona y/o Igualada, Lérida, y a menos de 7 min de la autopista del mediterráneo, a la parada del Bus con conexión a Barcelona y otras capitales de la comarca ( Olesa de Montserrat, Abrera, Martorell, Manresa, Igualada,…) y el servicio de bus del Hispano Igualadina que te llevara en menos de 10’ a la parada de tren (FGC o Renfe).                                           ¡Nada más verlo lo querrás!     ¡Pide una visita hoy para apreciar plenamente lo que te puede ofrecer!"
"Piso en venta en Carrer del Camí Ral, cerca de Carrer del Doctor Fleming",Esparreguera,165000 ,3, 1 ,88 ,-,1.875,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-1698625027_501243/,"Et presentem una llar encantador que reuneix comoditat, proximitat i estades equilibrades, situat a escassos metres de el centre de la població d´Esparreguera. La finca disposa d´ascensor. L´habitatge gaudeix de molta llum natural. Es compon de menjador amb accés a balcó de 8 m2, cuina office amb zona d´aigües, 3 habitacions i 1 bany complet. A més disposa de plaça de pàrquing."
"Casa en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,200000 ,4, 1 ,120 ,-,1.666,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-95013243918_100500/,"Urb. Mas d'en gall - parcela 600 m². - vivienda 80 m². + 30 m². Garaje. . 4 locales comerciales. Salón comedor 22 m² con salida a porche, 4 habitaciones (3 dobles), cocina office, baño nuevo con plato de ducha, garaje 1 coche, zona barbacoa, 2 terrazas de 50 m². (ideal para poner piscina). Calefacción gas, carpintería interior roble, exterior aluminio climalit.  Por el precio de una casa / casa y negocio."
Casa en venta en Esparreguera,Esparreguera,200000 ,3, 1 ,90 ,Bajo,2.222,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-99247113175_519327/,"90 m²,. Vivienda  -  parcela plana 562 m². - antigüedad 40 años  Salón comedor 24 m². Con salida balcón y con chimenea. Cocina office de origen, baño completo con bañera, 3 habitaciones dobles, carpinteria interior sapelly, exterior aluminio climalit, suelo terrazo, bomba de calor en el comedor, piscina con depuradora, trastero, barbacoa, patio, jardin"
Casa en venta en Esparreguera,Esparreguera,199000 ,4, 1 ,150 ,Sótano,1.326,Entre 30 y 50 años,Reformado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-90036078325_513853/,"Propietaris.cat ®, líder en catalunya para la venta entre particulares sin comisiones, ofrece:  - fantástica casa en una sola planta con vistas panorámicas espectaculares y privacidad total en esparraguera, con 1000 mt2 de parcela y posibilidad de ampliar construcción - la casa es totalmente exterior, con mucha luz y una terraza muy amplia a pie de comedor con vistas impresionantes y despejadas - la construcción se llevó a cabo en un solo nivel, sin escaleras interiores, para maximizar la comodidad y el día a día, además de aprovechar al máximo la orientación del edificio - se dispone de una gran salón comedor de 25 mt2 con chimenea de obra y cocina independiente anexa al comedor y totalmente equipada - hay 4 habitaciones (2 dobles + 2 individuales) y un baño completo y espacioso con jacuzzi para relajarse a diario - la casa está rodeada de jardines y terrazas, incluyendo una zona de barbacoa y porche para disfrutar todo el año con amigos o en familia - suelos recién reformados de estilo rústico, calefacción de gasoil en toda la casa, aunque con toma de gas natural si se prefiere esta otra opción - instalación de agua nueva hecha hace 1 año para optimizar riego y uso diario del subministro - la finca tiene mucho espacio para instalar piscina olímpica, zona de gimansio o zona de huerto. Sin duda, para el disfrute de cualquier tipo de pareja o unidad familiar  Una casa perfecta para entrar a vivir directamente o actualizar a gusto del comprador.  Propietaris.cat ® le garantiza el mejor precio del mercado, sin comisiones de agencia.   Propietaris.cat ®, ofrece siempre inmuebles con fotos 100% reales, sin filtros ni gran angular.  Con propietaris.cat ®, no hay intermediarios, con lo que comprador y vendedor se ahorran directamente miles de euros  y la venta se cierra al mejor precio para ambas partes!  Todos los inmuebles, servicios integrales y financiación hipotecaria 100% en www.propietaris.cat"
Piso en venta en Calle Frances Macia,Esparreguera,177260 ,3, 1 ,80 ,1ª,2.215,Entre 10 y 20 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95025960710_519351/,"Piso muy centrico , cerca de transporte publico y todos los servicios, piso para entrar a vivir , tiene osmosis y descalcificador , cocina americana piso muy amplio"
Casa pareada en venta en Esparreguera,Esparreguera,284950 ,3, 2 ,179 ,-,1.591,Entre 30 y 50 años,Reformado,https://www.pisos.com/comprar/casa_pareada-esparreguera_centro_urbano-94187314009_100500/,"La vivienda, está dividida en dos zonas: la social y la privada. La primera está integrada por recibidor, salón, la cocina, aseo y desde el salón tenemos acceso a una terraza de 12 m2 que nos comunica con el jardin. La segunda está distribuida en la planta superior con 3 habitaciones (3 dobles una de ellas con armario empotrado), baño con bañera reformado..  En planta semi sótano nos encontramos con un amplio garaje para albergar 2 coches, un despacho de unos 10 m2 y un amplio lavadero en donde poder hacer la colada. El garaje está comunicado mediante una escalera interior que da acceso al recibidor de la vivienda. .  Que más os puedo decir de esta magnífica vivienda, que tiene una terracita magnífica, que tendrás sol todo el día, que podrás disfrutarla a tope por que no tienes que cojer el coche para nada, que la cocina y los baños están reformados, que el suelo es de parquet sintético (casi indestructible), que tiene un amplio recibidor en donde podréis recibir a vuestros familiares y amigos, que seréis muy felices en esta casa igual que lo han sido en él sus actuales propietarios y eso se respira en el ambiente de la vivienda.....tiene muy buen rollito.....  Impuestos y gastos no incluidos en el precio. Si deseas tener más información de esta casa no dudes en solicitar información sin compromiso, conocerse en persona siempre es mucho mejor..  .  Si necesitas financiación para la compra de esta vivienda, te asesoraremos y ayudaremos a encontrar la mejor financiación que se adapte a ti..  .  F [amp;] F Inmobiliaria somos una empresa especializada en la compra venta de inmuebles con más de 20 años de experiencia en el sector inmobiliario ayudando a vender o comprar un hogar a numerosas familias. .  La Compraventa de una vivienda es una de las decisiones más importantes de nuestra vida y por tanto es fundamental contar con un profesional especializado en dicho viaje para que te asesore y no tengas que preocuparte de nada.  Gestionamos todos los asuntos referentes a la vivienda: Herencias, VPO, deudas, embargos, separaciones etc. .  En F [amp;] F Inmobiliaria tendrás el asesoramiento de un API colegiado 2856, aicat 1334, CRS y REALTOR, además pertenecemos a la agrupación MLS nacional, AMPSI, Comprarcasa y el colectivo API con los que colaboramos activamente..  ."
Piso en venta en Esparreguera,Esparreguera,166500 ,3, 2 ,85 ,-,1.958,-,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95850549503_100500/,"Últimas viviendas disponibles de producto bancario, pisos de  tres dormitorios, exteriores y soleados.  Dos baños completos, salón comedor con salida a terrazas,   Viviviendas en muy buen estado con excelente ubicación.  Ascensor y parquing opcional  A partir de 166.500€!!"
"Piso en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,100000 ,4, 1 ,77 ,Sótano,1.298,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95852100802_101800/,"Ubicado en una finca frente a la Montaña de Montserrat, localizamos esta vivienda que garantiza tranquilidad. Dispone de comedor con fantásticas vistas, una funcional cocina con zona lavadero, 4 habitaciones y 1 baño completo. Se trata de una vivienda muy luminosa, toda ella exterior, lo que te aportara bienestar y felicidad a tu nueva vida..."
Casa en venta en Esparreguera,Esparreguera,357000 ,11, 3 ,300 ,-,1.190,Más de 50 años,A reformar,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-71724265423_103000/,"Gran casa de pueblo en venta, a tan solo 50 mts. Del ayuntamiento y en plena calle comercial y peatonal de la localidad. Esta vivienda se encuentra para reformar aunque admite muchas posibilidades:  como reconstrucción de vivienda unifamiliar pudiendo usar los bajos como local comercial o bien como edificación de obra nueva para la creación de varios pisos individuales según normativa. En el caso de que interese la reconstrucción, la vivienda dispone de paredes, vigas y techos en buen estado de conservación. Actualmente tiene 3 plantas con un total de 280 m² útiles y con la siguiente distribución: planta baja con salón-comedor, cocina, 4 habitaciones, 1 baño, salida a patio trasero de aprox. 60 m² y acceso a pequeña planta sotano de 30 m² como bodega. Planta primera con 4 habitaciones grandes, 1 baño y salida a gran terraza de 50 m². Planta segunda como zona abuhardillada con 3 habitaciones dobles. Todos los servicios dados de alta. ++++interesados llamar para visita sin compromiso, muchas posibilidades y en pleno centro de esparreguera++++"
Dúplex en venta en Esparreguera,Esparreguera,221000 ,2, 3 ,120 ,4ª,1.841,Entre 10 y 20 años,A estrenar,https://www.pisos.com/comprar/duplex-esparreguera_centro_urbano-2591874081_519351/,"Duplex nuevo a estrenar- 95 m²-1ª planta salon comedor con acceso a mirador, 1 hab doble suitte-1 aseo cortesia-cocina office nueva a estrenar con electrodomesticos primera calidad-en el salon escalera que acceden a la segunda planta con 1 hab. Individual con a.empotrado-1 baño de 3 piezas y 1 terraza de 25 m² con vistas a la montaña. Plaza de parking grande. Cerca de todos los servicios- ttes publico-farmacia-supermercado-colegio-instituto."
"Casa en venta en Calle Centro, nº 1",Esparreguera,227260 ,-, 3 ,135 ,-,1.683,-,-,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100060754020_109200/,"Casa en el centro del pueblo rehabilitada hace 5 años casa reformada pendiente de terminarsuperficie de aproximadamente 135m2planta baja ............. 45m2 (40m2 local/parquing + 5m2 recibidor + cuarto para aseo)planta primera......... 45m2  (comedor + cocina + habitación + baño)planta segunda........ 45m2 (2 habitaciones + baño + solárium de 8m2)en el centro del pueblo cerca de colegios, bancos, ayuntamiento, mercado...casa con la posibilidad de tener vivienda y local comercial en la planta baja, en la zona más comercial y transitada peatonalmente de esparreguera.los importes de alquiler y venta son meramente informativos y pueden ser susceptibles de cambiar según indicaciones de la propiedad.."
Piso en venta en La Colònia Sedó,La Colònia Sedó (Esparreguera),124000 ,3, 1 ,81 ,2ª,1.530,-,En buen estado,https://www.pisos.com/comprar/piso-la_colonia_sedo-3363730253_520842/,"Piso en Esparreguera, Barcelona, ideal para familias. La vivienda dispone de una superficie de 81 m² distribuidos en 3 habitaciones, salón-comedor con acceso al balcón, cocina equipada con horno y acceso al lavadero además de 1 baño completo. La vivienda tiene suelos de parquet. Situado en la 2a planta del edificio, sin ascensor. Localizado en el centro de Esparreguera, en sus alrededores encontramos la Escola Estel, supermercados, bancos, bibliotecas, farmacias, oficinas de correos y centros deportivos. Con fácil acceso a A-2."
"Casa en venta en Carrer de l'Hospital, nº 1",Esparreguera,236900 ,-, 1 ,163 ,-,1.453,-,-,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100039895136_109200/,"Planta baja de 163m² aproximadamente  Vivienda 123m² totalmente reformada + pl. Garaje 40m²  Patio de 90m² con barbacoa y zona ajardinadacomedor de unos 40m² con chimenea   Entrada a vivienda sin escaleras  2 habitaciones con armarios empotrados y sala grande   Garaje con capacidad para dos coches y trastero   Muy soledad   Entrada por dos calles  Posibilidad de dividir en dos parcelas y construir una edificación de pb + 2 alturas  Muy bien ubicada en el centro del pueblo   Cerca de transporte público, colegios, comercios...  Este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.  Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.                         (impuestos no incluidos en los precios.)."
"Casa adosada en venta en Calle Centro, nº 1",Esparreguera,278100 ,-, 2 ,102 ,-,2.726,-,-,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-882543820_109200/,"Casa adosada de 102m2con 5 habitaciones, 4 en la 2ª planta y buhardilla habilitada con chimenea1 aseo y 1 baño reformado con duchacocina, baños,... reformado calefacción a gasterraza a la salida del comedor y solárium en planta buhardillabuhardilla con chimenea casa con local en pl. baja independiente a la casa      Pl. primera: comedor + cocina + aseo + terraza     Pl. segunda: 4 habitaciones + 1 baño     Pl. buhardilla: habitación habilitada para dormitorio, sala de estudios,... con chimenea y soláriumEste documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.                       (Impuestos no incluidos en los precios.)."
Piso en venta en Esparreguera,Esparreguera,129000 ,3, 1 ,70 ,4ª,1.842,Entre 20 y 30 años,Reformado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-100006863174_501243/,"Piso todo reformado a estrenar , cuarto piso  con ascensor , tres habitaciones ,(una doble y dos individuales) comedor de 25m2  con salida a balcón ,  cocina independiente con salida a lavadero, cerca de todos los servicios y para entrar a vivir,"
"Piso en venta en Calle Centro, nº 1",Esparreguera,119000 ,-, 1 ,108 ,-,1.101,-,-,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-100044465789_109200/,"Piso de 108m²  Con 3 habitaciones (2 dobles + 1 individual)  Balcón cerrado con vidriera y vistas a montaña  Patio comunitario en la parte superior del edificio  1 baño con bañera  1 aseo   Calefacción gas natural con radiadores  Comunidad con pocos vecinos  Trastero de unos 5m²  Muebles y electrodomésticos negociables  Este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.  Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.                        (i. V. A. No incluido en los precios.)."
Piso en venta en Centre Poble,Esparreguera,124000 ,4, 1 ,92 ,-,1.347,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-2586089420_101800/,Piso de 92 m2 + trastero. finca sin ascensor. 3º piso. 4 habitaciones. 1 baño completo. cocina + lavadero. comedor-salón con salida a balcón. suelo de gres. calefacción a gas. ventanas de aluminio. carpinteria interior de roble.
"Casa en venta en Avinguda de Francesc Macià, cerca de Carrer del Mestre Feliu Monné",Esparreguera,235000 ,3, 1 ,130 ,-,1.807,-,En buen estado,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-2571377429_101800/,Casa de una sola planta de 133 m² de casa + 135 m² de patio Comedor con chimenea .- cocina  + baño completo 2 habitaciones  + 1 sala Calefacción a gas   Patio impecable .- garage para  3 coches  Trastero
Piso en venta en Nucli Urbà - Carretera,Esparreguera,119000 ,3, 1 ,69 ,-,1.724,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-100009121357_101800/,Bonito Piso situado en centro pueblo - carretera. Piso de 69 m2 con balcón amplio. 3 habitaciones (1 doble). 1 baño con ducha. cocina nueva (encimera-horno-campana-microondas). lavadero. ventanas de aluminio. suelo de parquet y gres. Termo eléctrico. carpinteria interior (puertas lacadas blancas). Finca con ascensor.
Piso en venta en Carretera,Esparreguera,165000 ,3, 1 ,82 ,-,2.012,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-100091817842_101800/,Bonito piso con buenas vistas. Piso de 82 m2. 3 habitaciones. 1 baño con bañera. cocina office + lavadero. comedor-salón con salida a balcón. suelo de gres y parquet. ventanas de aluminio. calefacción a gas. aire acondicionado en el comedor y habitación matrimonio. finca con ascensor.
Piso en venta en Centro Pueblo,Esparreguera,170000 ,3, 2 ,105 ,-,1.619,Entre 20 y 30 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-100048725249_101800/,Finca con ascensor. Piso situado en zona centro (Plaza Ayuntamiento). superficie 105 m2.  3 habitaciones. 1 baño completo. 1 aseo. comedor-salón de 34 m2. cocina office. lavadero.
Chalet en venta en Esparreguera,Esparreguera,206000 ,4, 1 ,116 ,-,1.775,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-97509825947_100500/,"Ref. Mce3939rr.  .  Casa en can rial  de esparraguera - barcelona-.  .  Distribución.  -4 dormitorios, dos dobles y dos individuales..  -1 baño..  -salón con salida a la terraza_.  -cocina office..  -garaje..  -trastero..  -terreno de 981m².  .  Acabados.  Suelos de gres, ventanas de madera, puertas madera, armarios empotrados, calefacción, chimenea, barbacoa con pergola, .  .  Zona y transporte.  Urbanización a las afueras de esparreguera, en coche tendrá a un máximo de 5´ colegios, instituto, tiendas varias, mercado municipal , farmacias, parada de autobuses con destino a las principales y no tan principales poblaciones y ciudades (olesa de montserrat, martorell, abrera, barcelona, igualada, manresa, etc) en las que podrá encontrar el tren (fgc)..  .  Estará a tan solo 3' de autovía a2 dirección barcelona y/o igualada, lérida ) y a 5' autopista del mediterráneo. Andando estará a tan solo 2' autobús que tiene parada en el centro del pueblo, esparreguera. Estará a tan sólo a 10' del tren (fgc o renfe), servicio de igualadina en el mismo pueblo de esparraguera..  ."
"Casa en venta en Carrer de la Petúnia, cerca de Carrer de Pau Duran",Esparreguera,115000 ,2, 1 ,50 ,-,2.300,-,-,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-1685101231_108900/,"DEPLACE NO COBRAMOS AL COMPRADOR Y SOLO 2.990€ +IVA AL VENDEDOR.¡Estupenda y acogedora casa en venta en Urbanización Más d''en Gall!!!Presentamos esta preciosa casa, totalmente reformada recientemente con mucho gusto.  Tiene una superficie de 50 metros cuadrados en una parcela de 101 mts2 y cuenta con 2 habitaciones y 1 baño.Accedemos a la vivienda y encontramos el salón comedor, muy amplio y luminoso, y con cocina abierta,  totalmente amueblada, que proporciona sensación de mucha amplitud.Dispone esta casa de dos dormitorios, uno doble muy amplio y otro individual pero con capacidad para cama de matrimonio.El cuarto de baño es amplio y dispone de armario bajo lavabo grande y plato de ducha grande con mampara.Saliendo de la cocina encontramos un patio con zona de lavadero/tendedero y un pequeño trastero muy práctico.En la reciente reforma se pusieron bonitos suelos de parquet y ventanas de aluminio, calefacción individual eléctrica y aire acondicionado con bomba frio/calor.La parte de entrada de la vivienda, con un toldo,  dispone de un amplio jardín donde tener una barbacoa, mesa y sillas, plantas, y donde entrar el coche si no queremos dejarlo en la calle. Se sitúa en una urbanización muy tranquila y cercana al pueblo donde encontramos todos los servicios.Llámenos para concertar una visita.."
"Casa en venta en Calle Centro, nº 1",Esparreguera,299000 ,-, 3 ,150 ,-,1.993,-,-,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100091005351_109200/,"Casas de 150m²   En zona tranquila de la plana  Apareada     Muy soleada con vistas a montserrat  4 dormitorios (2 dobles y 2 individuales) antes eran 5 dormitorios  2 baños con ducha (reformados) y 1 aseo    Cocina con salida a patio interior donde tenemos un lavadero con despensa y terraza para tender  Patio amplio con barbacoa  Solarium en planta superior   Garaje para un coche con posibilidad de dejar un segundo coche dentro de la parcela (zona de fácil aparcamiento)  Calefacción a gas con radiadores  Aire acondicionado en 2 habitaciones  Planta superior abuhardillada   Opciones: alquiler con opción a compra  Este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.  Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.                         (impuestos no incluidos en los precios.)."
Piso en venta en Esparreguera,Esparreguera,120000 ,3, 2 ,108 ,3ª,1.111,Entre 30 y 50 años,En buen estado,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-98376658895_100500/,"Ref. Mce4012rr.  .  Piso en el centro de esparraguera_.  .  Distribución_.  - salón comedor.  - cocina con lavadero..  - balcón..  - 3 dormitorios, 1 doble..  - baño y aseo..  .  Acabados.  Suelos de terrazo, ventanas aluminio, puertas de embreo, calefacción..  .  Zona y transporte:.  Zona  céntrica, a pocos metros hay institutos y colegio, ambulatorio,  el teatre de la passió, mercado municipal,  tiendas, farmacía. A pocos minutos de la a2, autobuses que te llevan a las diferentes poblaciones y estaciones de fgc. Y barcelona."
"Casa adosada en venta en Calle Centro, nº 1",Esparreguera,255000 ,-, 2 ,150 ,-,1.700,-,-,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-100002307866_109200/,"Casa adosada 150m2superficie de vivienda 137m2 + 13m2 terrazas + patio delantero 40m2 + patio posterior 20m2comedor con chimenea gran terraza con salida desde comedorpatio delantero y posteriorsalida al balcón en habitación y cocina3 habitaciones (2 dobles + 1 individual)garaje para un cochepatio delantero donde poder aparcar un segundo cochecalefacción a gas con radiadorescaldera nueva del 2018 (6 años de garantía)aire acondicionado el comedor y habitación de matrimonio1 baño con bañera1 aseotoldos en todas las terrazasmosquiterasiluminación con intensidad de luz en pared comedoren zona residencial cerca del centro de esparreguera, para disfrutar de la tranquilidad de una urbanización con todos los servicios a pocos metros.este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.                       (impuestos no incluidos en los precios.)."
