,Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Description,Antigüedad,Estado conservacion,Caracteristicas,Muebles y acabados,Equipamiento e instalaciones,Certificado energetico,URL
20,"Casa adosada en venta en Calle Centro, nº 1",Esparreguera,255.000 ,, 2 s,150 ,,1.700,"Casa adosada 150m2superficie de vivienda 137m2 + 13m2 terrazas + patio delantero 40m2 + patio posterior 20m2comedor con chimenea gran terraza con salida desde comedorpatio delantero y posteriorsalida al balcón en habitación y cocina3 habitaciones (2 dobles + 1 individual)garaje para un cochepatio delantero donde poder aparcar un segundo cochecalefacción a gas con radiadorescaldera nueva del 2018 (6 años de garantía)aire acondicionado el comedor y habitación de matrimonio1 baño con bañera1 aseotoldos en todas las terrazasmosquiterasiluminación con intensidad de luz en pared comedoren zona residencial cerca del centro de esparreguera, para disfrutar de la tranquilidad de una urbanización con todos los servicios a pocos metros.este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.                       (impuestos no incluidos en los precios.).
        ",,,"Superficie construida: 150 m² , Superficie útil: 150 m² , Baños: 2, Tipo de casa: Adosada, Referencia: YE31-3-ES-C-5401-19",,"Gas: , Aire acondicionado: , Calefacción: , Chimenea: , Garaje: ",Clasificación: : En trámite,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-100002307866_109200/
21,"Casa en venta en Calle Centro, nº 1",Esparreguera,227.260 ,, 3 s,135 ,,1.683,"Casa en el centro del pueblo rehabilitada hace 5 años casa reformada pendiente de terminarsuperficie de aproximadamente 135m2planta baja ............. 45m2 (40m2 local/parquing + 5m2 recibidor + cuarto para aseo)planta primera......... 45m2  (comedor + cocina + habitación + baño)planta segunda........ 45m2 (2 habitaciones + baño + solárium de 8m2)en el centro del pueblo cerca de colegios, bancos, ayuntamiento, mercado...casa con la posibilidad de tener vivienda y local comercial en la planta baja, en la zona más comercial y transitada peatonalmente de esparreguera.los importes de alquiler y venta son meramente informativos y pueden ser susceptibles de cambiar según indicaciones de la propiedad..
        ",,,"Superficie construida: 135 m² , Superficie útil: 135 m² , Baños: 3, Referencia: YE31-3-ES-C-5040-17",,,Clasificación: : En trámite,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100060754020_109200/
22,Chalet en venta en Esparreguera - Can Vinyals,Esparreguera,147.000 , 3 , 1 ,112 ,,1.312,"Casa a 4 vientos para terminar a su gusto distruida en según los planos en :Planta Baja: Garaje de 45,80m2.Primera Planta: Comedor de 36m2, cocina de 11m2 con lavadero, 2 habitaciones ( 9,90m2 y 14m2) , baño con plato de ducha y posibilidad de hacer otro baño en suite.Techo de doble altura con altillo para hacer una habitación doble más sala de estar.Situada en una Parcela de 1500m2 la urbanización se encuentra a pocos minutos del pueblo de Olesa y Esparraguera.
        ",Entre 10 y 20 años,A reformar,"Superficie construida: 112 m² , Habitaciones: 3, Superficie solar: 1.500 m² , Baños: 1, Antigüedad: Entre 10 y 20 años, Conservación: A reformar, Referencia: IF76138-217-2019",,"Lavadero: , Garaje: , Trastero: ","Clasificación: : En trámite, Emisiones: : ",https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-100044855372_101800/
23,"Casa adosada en venta en Calle Centro, nº 1",Esparreguera,278.100 ,, 2 s,102 ,,2.726,"Casa adosada de 102m2con 5 habitaciones, 4 en la 2ª planta y buhardilla habilitada con chimenea1 aseo y 1 baño reformado con duchacocina, baños,... reformado calefacción a gasterraza a la salida del comedor y solárium en planta buhardillabuhardilla con chimenea casa con local en pl. baja independiente a la casa      Pl. primera: comedor + cocina + aseo + terraza     Pl. segunda: 4 habitaciones + 1 baño     Pl. buhardilla: habitación habilitada para dormitorio, sala de estudios,... con chimenea y soláriumEste documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.                       (Impuestos no incluidos en los precios.).
        ",,,"Superficie construida: 102 m² , Superficie útil: 102 m² , Baños: 2, Tipo de casa: Adosada, Referencia: YE31-3-ES-C-5410-20",,,Clasificación: : En trámite,https://www.pisos.com/comprar/casa_adosada-esparreguera_centro_urbano-882543820_109200/
24,"Casa en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,200.000 , 4 , 1 ,120 ,,1.666,"Urb. Mas d'en gall - parcela 600 m². - vivienda 80 m². + 30 m². Garaje. . 4 locales comerciales. Salón comedor 22 m² con salida a porche, 4 habitaciones (3 dobles), cocina office, baño nuevo con plato de ducha, garaje 1 coche, zona barbacoa, 2 terrazas de 50 m². (ideal para poner piscina). Calefacción gas, carpintería interior roble, exterior aluminio climalit.  Por el precio de una casa / casa y negocio.
        ",,En buen estado,"Superficie construida: 120 m² , Habitaciones: 4, Superficie solar: 600 m² , Baños: 1, Conservación: En buen estado, Referencia: IF76135-6732 IDEAL - CASA Y LOCALES COMERCIALES",Tipo suelo: Gres,"Aire acondicionado: Frío, Calefacción: Gas natural, Cocina equipada: , Garaje: 1, Puerta blindada: , Trastero: ",Clasificación: : En trámite,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-95013243918_100500/
25,Piso en venta en Calle  Olesa de Montserrat,Esparreguera,171.000 , 4 , 2 s,111 ,2ª,1.540,"111 M2. Construidos - Utiles 95 m2. + Trastero, FINCA 1981Salón comedor 22 m2. con chimenea y  salida a balcónCocina office reformada de muebles(solo)4 Habitaciones (3 dobles),Baño reformado, Trastero, Calefacción eléctrica y bomba de calor, Suelo terrazo, Carpintería interior sapelly, exterior aluminio mixto de 1 y 2 cristales.
",Entre 20 y 30 años,En buen estado,"Superficie construida: 111 m² , Superficie útil: 95 m² , Habitaciones: 4, Baños: 2, Planta: 2ª, Exterior: , Antigüedad: Entre 20 y 30 años, Conservación: En buen estado, Referencia: 4519327-7009","Tipo suelo: Terrazo, Vidrios dobles: , Carpintería exterior: Aluminio","Calefacción: Eléctrica, Chimenea: , Cocina equipada: , Comedor: , Lavadero: , Trastero: , Portero automático: , Puerta blindada: , Ascensor: ","Clasificación: : Disponible, Emisiones: : 96 Kg CO2/m2 año",https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-2573685167_519327/
26,Casa en venta en Calle Urb. Can Rial,Esparreguera,195.000 , 3 , 1 ,90 ,Bajo,2.166,"Superficie total 90 m², superficie solar 690 m², superficie útil 90 m², hab. individuales: 1, habitaciones dobles: 2, 1 baño, aire acondicionado (frío y calor), calefacción (eléctrica), cocina, comedor, estado conservación: buen estado, garaje.
        ",,En buen estado,"Superficie construida: 90 m² , Superficie útil: 90 m² , Superficie solar: 690 m² , Planta: Bajo, Habitaciones: 3, Baños: 1, Conservación: En buen estado, Referencia: 4519327-006983",Vidrios dobles: ,"Aire acondicionado: Frío y calor, Calefacción: Eléctrica, Cocina equipada: , Comedor: , Lavadero: , Garaje: 1",Clasificación: : En trámite,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100087582683_519327/
27,"Piso en venta en Esparreguera, Zona de - Esparreguera",Esparreguera,150.000 , 4 , 1 ,120 ,,1.250,"120 m2. vivienda, Salón comedor de 25 m2., Cocina office con salida a galeria grande, 4 Habitaciones (3 dobles),l Baño con bañera, Carpintería interior roble, exterior aluminio climalit, Suelo gres, Calefacción gas, 2º piso sin ascensor. Posibilidad de alquiler con acción de compra)
        ",,En buen estado,"Superficie construida: 120 m² , Habitaciones: 4, Baños: 1, Conservación: En buen estado, Referencia: IF76135-6705 PISO EN VENTA",Tipo suelo: Gres,"Calefacción: Gas natural, Cocina equipada: ",Clasificación: : En trámite,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95026206683_100500/
28,Casa en venta en Calle Esparreguera,Esparreguera,235.000 , 3 , 1 ,115 ,,2.043,"Vivienda de 115 m². - en una sola planta / adosada.
Salón comedor 60 m². Con chimenea, cocina equipada, baño con 
Plato de ducha reformado. 3 habitaciones (1 doble, 1 individual, con salida a patio de luces, 1 habitacion distribuidor muy grande, garaje para tres coches, cuarto trastero en el mismo de 15 m²., terraza 50 m². Encima del garaje, trastero debajo de la vivienda, patio-jardin de 100 m²., carpinteria interior sapelly, exterior aluminio climalit, barbacoa, suelo de gres, calefacción gas, antigüedad 40 años. Casa c on salida a dos calles.


",Entre 30 y 50 años,En buen estado,"Superficie construida: 115 m² , Superficie útil: 115 m² , Superficie solar: 215 m² , Habitaciones: 3, Baños: 1, Antigüedad: Entre 30 y 50 años, Conservación: En buen estado, Referencia: 4519327-6965","Carpintería exterior: Aluminio, Vidrios dobles: , Tipo suelo: Gres","Gas: , Calefacción: Gas natural, Chimenea: , Cocina equipada: , Comedor: , Lavadero: , Garaje: Más de 2, Puerta blindada: ","Clasificación: : Disponible, Emisiones: : 45 Kg CO2/m2 año",https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-99256914900_519327/
29,Casa en venta en Residencial,Esparreguera,320.000 , 5 , 2 s,,,,"Se vende ESPECTACULAR casa en la urb. Can Rial, Esparreguera, en parcela de 575 m2 y 231 m2 construidos. En planta baja se encuentra garaje de 125 m2 un cuarto de baño completo y zona abierta de barbacoa. En la primera planta. gran salón comedor de 45 m2, cocina office, 4 habitaciones grandes una de ellas es suite, 2 baños completos y bonito jardín con piscina con unas espectaculares vistas a la montaña de Montserrat. La casa consta de una buhardilla de 75 m2, sala diáfana para destinarla al uso que más convenga. Todas las estancias son exteriores y con mucha luz. Lugar único y tranquilo a 20 min en coche de Barcelona..
        ",,,"Superficie útil: 569 m² , Habitaciones: 5, Superficie solar: 569 m² , Baños: 2, Referencia: EP505-3045",,"Aire acondicionado: , Calefacción: , Cocina: , Comedor: , Garaje: ","Clasificación: : Disponible, Emisiones: : 53 Kg CO2/m2 año",https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-2589461347_109300/
