,Titulo,Zona,Precio,Habitaciones,Aseos,Metros cuadrados,Planta,Precio (€/m²),Description,Antigüedad,Estado conservacion,Caracteristicas,Muebles y acabados,Equipamiento e instalaciones,Certificado energetico,URL
10,Piso en venta en Esparreguera,Esparreguera,127.260 , 4 , 1 ,77 ,3ª,1.652,"PISO REFORMADO DE 4 HABITACIONES- 77 m. Construidos - 4 habitaciones - ( 2 dobles y 2 individuales) - 1 baño con ducha - cocina independiente de 7m. -  lavadero - salón comedor de 21m. con salida al balcón - aire acondicionado con bomba de calor - calefacción a gas natural - suelos de gres - carpintería exterior de aluminio - carpintería interior de haya - es un tercer piso sin ascensor - orientación norte- suministros de agua,luz y gas - esta situado muy cerca del ayuntamiento , cerca de todos los servicios -
        ",Entre 30 y 50 años,En buen estado,"Superficie construida: 77 m² , Superficie útil: 67 m² , Habitaciones: 4, Baños: 1, Planta: 3ª, Exterior: , Antigüedad: Entre 30 y 50 años, Conservación: En buen estado, Gastos de comunidad: 40€ mensuales, Referencia: 2968-05853","Carpintería interior: Haya, Tipo suelo: Gres, Vidrios dobles: , Carpintería exterior: Aluminio","Gas: , Aire acondicionado: Frío y calor, Calefacción: Gas natural, Cocina: Independiente- 7m, Comedor: 21m, Lavadero: , Portero automático: , Puerta blindada: ",Clasificación: : En trámite,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-2530074526_296800/
11,Piso en venta en Esparreguera,Esparreguera,152.260 , 4 , 1 ,103 ,2ª,1.478,"Precioso piso de 95 m2 compuesto por 4 habitaciones ( 2 dobles y 2 individual), comedor con balcón de 8 m2,  baño con plato de ducha, cocina y lavadero. Calefacción con gas natural. Pasillo con altillo. Carpintería interior de sapely, carpintería exterior de aluminio y puerta blindada. Piso muy soleado ubicado en una zona muy tranquila de Esparreguera, muy cercano del transporte público y de todo tipo de servicios.
        ",,En buen estado,"Superficie construida: 103 m² , Superficie útil: 95 m² , Habitaciones: 4, Baños: 1, Planta: 2ª, Exterior: , Conservación: En buen estado, Referencia: 4519351-000116","Tipo suelo: Terrazo, Carpintería exterior: Aluminio","Teléfono: , Calefacción: Gas natural, Cocina equipada: , Comedor: , Lavadero: , Trastero: , Puerta blindada: , Sistema de seguridad: , Ascensor: ",Clasificación: : En trámite,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95878442046_519351/
12,Casa en venta en Esparreguera,Esparreguera,357.000 , 11 , 3 s,300 ,,1.190,"Gran casa de pueblo en venta, a tan solo 50 mts. Del ayuntamiento y en plena calle comercial y peatonal de la localidad. Esta vivienda se encuentra para reformar aunque admite muchas posibilidades:  como reconstrucción de vivienda unifamiliar pudiendo usar los bajos como local comercial o bien como edificación de obra nueva para la creación de varios pisos individuales según normativa. En el caso de que interese la reconstrucción, la vivienda dispone de paredes, vigas y techos en buen estado de conservación. Actualmente tiene 3 plantas con un total de 280 m² útiles y con la siguiente distribución: planta baja con salón-comedor, cocina, 4 habitaciones, 1 baño, salida a patio trasero de aprox. 60 m² y acceso a pequeña planta sotano de 30 m² como bodega. Planta primera con 4 habitaciones grandes, 1 baño y salida a gran terraza de 50 m². Planta segunda como zona abuhardillada con 3 habitaciones dobles. Todos los servicios dados de alta. ++++interesados llamar para visita sin compromiso, muchas posibilidades y en pleno centro de esparreguera++++
        ",Más de 50 años,A reformar,"Superficie construida: 300 m² , Superficie útil: 280 m² , Habitaciones: 11, Superficie solar: 200 m² , Baños: 3, Antigüedad: Más de 50 años, Conservación: A reformar, Referencia: SA449-488620/3134",,"Chimenea: , Trastero: ","Clasificación: : No indicado, Emisiones: : ",https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-71724265423_103000/
13,Piso en venta en Esparreguera,Esparreguera,166.500 , 3 , 2 s,85 ,,1.958,"Últimas viviendas disponibles de producto bancario, pisos de  tres dormitorios, exteriores y soleados.
 Dos baños completos, salón comedor con salida a terrazas, 
 Viviviendas en muy buen estado con excelente ubicación.
 Ascensor y parquing opcional
 A partir de 166.500€!!
        ",,En buen estado,"Superficie construida: 85 m² , Superficie útil: 7.205 m² , Habitaciones: 3, Baños: 2, Conservación: En buen estado, Referencia: SA828-00544/3799",Tipo suelo: Gres,Ascensor: ,"Clasificación: : No indicado, Emisiones: : ",https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95850549503_100500/
14,Piso en venta en Calle Frances Macia,Esparreguera,177.260 , 3 , 1 ,80 ,1ª,2.215,"Piso muy centrico , cerca de transporte publico y todos los servicios, piso para entrar a vivir , tiene osmosis y descalcificador , cocina americana piso muy amplio
        ",Entre 10 y 20 años,En buen estado,"Superficie construida: 80 m² , Superficie útil: 75 m² , Habitaciones: 3, Baños: 1, Planta: 1ª, Interior: , Exterior: , Antigüedad: Entre 10 y 20 años, Conservación: En buen estado, Referencia: 4519351-000134","Tipo suelo: Gres, Carpintería exterior: Aluminio","Gas: , Teléfono: , Aire acondicionado: Frío y calor, Calefacción: Gas natural, Cocina equipada: , Comedor: , Lavadero: , Trastero: , Portero automático: , Puerta blindada: , Ascensor: ",Clasificación: : En trámite,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-95025960710_519351/
15,Chalet en venta en Can Rial,Esparreguera,195.000 , 3 , 1 ,121 ,,1.611,"** casa de 12 m² construidos. 88 m² útiles. +
 Garaje de 24 m²** construida sobre parcela de 520 m².
3 habitaciones. 1 baño con bañera. Calefacción gasoil. Ventanas de aluminio. Mosquiteras. Magníficas vistas. Huerto y zona pavimentada. Trastero. Barbacoa. 
        ",Entre 30 y 50 años,En buen estado,"Superficie construida: 121 m² , Habitaciones: 3, Superficie solar: 545 m² , Baños: 1, Antigüedad: Entre 30 y 50 años, Conservación: En buen estado, Referencia: IF76270-002877",Armarios empotrados: ,"Calefacción: Central, Cocina: , Lavadero: , Garaje: , Trastero: ","Clasificación: : Disponible, Emisiones: : 126 Kg CO2/m2 año",https://www.pisos.com/comprar/chalet-esparreguera_centro_urbano-100067745906_101800/
16,"Piso en venta en Carrer del Camí Ral, cerca de Carrer del Doctor Fleming",Esparreguera,165.000 , 3 , 1 ,88 ,,1.875,"Et presentem una llar encantador que reuneix comoditat, proximitat i estades equilibrades, situat a escassos metres de el centre de la població d´Esparreguera. La finca disposa d´ascensor. L´habitatge gaudeix de molta llum natural. Es compon de menjador amb accés a balcó de 8 m2, cuina office amb zona d´aigües, 3 habitacions i 1 bany complet. A més disposa de plaça de pàrquing.
        ",Entre 10 y 20 años,En buen estado,"Superficie construida: 88 m² , Superficie útil: 85 m² , Habitaciones: 3, Baños: 1, Exterior: , Antigüedad: Entre 10 y 20 años, Conservación: En buen estado, Referencia: 501243-002245","Vidrios dobles: , Carpintería exterior: Aluminio","Gas: , Aire acondicionado: Frío y calor, Calefacción: Eléctrica, Cocina: , Comedor: , Lavadero: , Portero automático: , Puerta blindada: , Ascensor: ","Clasificación: : Disponible, Emisiones: : 36 Kg CO2/m2 año",https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-1698625027_501243/
17,"Casa en venta en Calle Centro, nº 1",Esparreguera,299.000 ,, 3 s,150 ,,1.993,"Casas de 150m² 

En zona tranquila de la plana

Apareada 



Muy soleada con vistas a montserrat

4 dormitorios (2 dobles y 2 individuales) antes eran 5 dormitorios

2 baños con ducha (reformados) y 1 aseo



Cocina con salida a patio interior donde tenemos un lavadero con despensa y terraza para tender

Patio amplio con barbacoa

Solarium en planta superior 

Garaje para un coche con posibilidad de dejar un segundo coche dentro de la parcela (zona de fácil aparcamiento)

Calefacción a gas con radiadores

Aire acondicionado en 2 habitaciones

Planta superior abuhardillada 

Opciones: alquiler con opción a compra

Este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.

Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.

                       (impuestos no incluidos en los precios.).
        ",,,"Superficie construida: 150 m² , Superficie útil: 150 m² , Baños: 3, Referencia: YE31-3-ES-C-5312-19",,,Clasificación: : En trámite,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100091005351_109200/
18,"Piso en venta en Calle Centro, nº 1",Esparreguera,119.000 ,, 1 ,108 ,,1.101,"Piso de 108m²

Con 3 habitaciones (2 dobles + 1 individual)

Balcón cerrado con vidriera y vistas a montaña

Patio comunitario en la parte superior del edificio

1 baño con bañera

1 aseo 

Calefacción gas natural con radiadores

Comunidad con pocos vecinos

Trastero de unos 5m²

Muebles y electrodomésticos negociables

Este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.

Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.

                      (i. V. A. No incluido en los precios.).
        ",,,"Superficie construida: 108 m² , Superficie útil: 108 m² , Baños: 1, Referencia: YE31-3-ES-P-5395-19",,,Clasificación: : En trámite,https://www.pisos.com/comprar/piso-esparreguera_centro_urbano-100044465789_109200/
19,"Casa en venta en Carrer de l'Hospital, nº 1",Esparreguera,236.900 ,, 1 ,163 ,,1.453,"Planta baja de 163m² aproximadamente

Vivienda 123m² totalmente reformada + pl. Garaje 40m²

Patio de 90m² con barbacoa y zona ajardinadacomedor de unos 40m² con chimenea 

Entrada a vivienda sin escaleras

2 habitaciones con armarios empotrados y sala grande 

Garaje con capacidad para dos coches y trastero 

Muy soledad 

Entrada por dos calles

Posibilidad de dividir en dos parcelas y construir una edificación de pb + 2 alturas

Muy bien ubicada en el centro del pueblo 

Cerca de transporte público, colegios, comercios...

Este documento tiene una finalidad meramente informativa, y no reviste carácter contractual, si bien los datos que se  facilitan se dan de buena fe y se consideran correctos, salvo error u omisión.

Estos datos pueden sufrir variaciones debido a cambios ajenos a la empresa.

                       (impuestos no incluidos en los precios.).
        ",,,"Superficie construida: 163 m² , Superficie útil: 163 m² , Baños: 1, Referencia: YE31-3-ES-C-4656-15",,"Calefacción: , Lavadero: , Garaje: , Trastero: ",Clasificación: : En trámite,https://www.pisos.com/comprar/casa-esparreguera_centro_urbano-100039895136_109200/
